AU,65,i | 1 | 2 | 3,,10.3,-0.96,"827,900","8,562","8,401",169.50,10.40,,0.06,0.06,5.72,6.14,1.35,0.58,33.41,,951,903,4.81,
AUCT,66,i | 1 | 2 | 3,,9.5,-1.04,"2,157,400","20,612","5,225",23.78,10.56,2.51,0.17,0.4,16.96,44.22,26.05,4.27,28.77,,327,381,2.46,
AWC,67,i | 1 | 3,,4.38,+0.46,"48,077,900","208,608","140,160",,1.81,,,0,-0.79,-2.55,-37.92,,24.97,,,,,
AYUD,68,i | 1 | 2 | 3,,37,0.00,"3,900",142,"14,403",11.16,0.85,,0.77,3.32,4.47,7.49,31.08,4.11,28.17,,504,566,-0.96,
B,69,i | 1 | 2 | 3,,0.99,-1.98,"168,796,500","169,493","2,093",36.15,1.94,,,0.03,6.43,7.07,89.5,,66.29,,805,746,-1.33,
B52,70,i | 1 | 2 | 3,C,0.68,-2.86,"4,055,700","2,797","1,783",,11.33,,,0,-38.04,-47.1,-149.51,,37.88,,,,,
BA,71,i | 1 | 2 | 3,,12.3,-2.34,"3,377,400","41,977","25,830",,1.25,,,0,-4.37,-15.73,-61.45,,36.25,,,,,
BAFS,72,i | 1 | 2 | 3,,31,+0.81,"2,864,300","86,788","19,762",,3.85,,,0,-2.61,-12.17,-47.98,,45.17,,,,,
BAM,73,i | 1 | 3,,18.9,0.00,"22,880,900","428,198","61,086",29.89,1.48,2.16,0.51,0.63,4.15,5.25,27.51,2.71,54.20,,832,830,-0.42,
BANPU,74,i | 1 | 2 | 3,,12.8,-1.54,"122,891,900","1,558,973","64,955",46.17,1.21,,0.20,0.28,4.05,3.13,9.88,1.73,88.39,,972,914,4.83,
BAY,75,i | 1 | 3,,30.75,-3.15,"1,989,900","61,701","226,190",7.41,0.74,,0.40,4.15,2.4,10.44,31.96,1.10,23.12,,335,565,0.48,
BBIK,76,i,,29,-3.33,"10,514,800","316,275",0,,-,,-,0,34.97,37.71,23.67,-,38.23,,,,,
BBL,77,i | 1 | 2 | 3,,113.5,-0.44,"12,411,400","1,414,957","216,654",11.00,0.46,,1.00,10.32,1.45,4.35,20.92,2.19,98.53,,595,686,8.4,
BC,78,i | 1 | 3,,1.63,-1.21,"444,000",728,826,,1.17,,,0,-5.87,-22.23,-259.9,,30.74,,,,,
BCH,79,i | 1 | 3,,23,+1.77,"25,316,200","579,438","57,356",26.54,7.12,,0.20,0.87,18.06,29.81,24.27,1.02,50.01,,387,399,1.21,
BCP,80,i | 1 | 2 | 3,,26.5,-1.85,"4,397,900","116,743","36,488",9.85,0.71,,1.00,2.69,5.26,7.67,5.53,1.48,64.27,,455,485,-0.77,
BCPG,81,i | 1 | 2 | 3,,14,-1.41,"12,597,100","176,508","37,972",18.33,1.54,,0.16,0.76,6.13,10.66,50.03,2.00,24.61,,536,599,2.49,
BCT,82,i | 1 | 2 | 3,,45.5,+1.11,"1,700",77,"13,650",5.09,0.62,,0.80,8.95,13.6,13.06,43.55,1.78,21.50,,233,121,-0.06,
BDMS,83,i | 1 | 2 | 3,,22.8,+0.44,"46,033,000","1,046,769","362,338",51.92,4.42,,0.55,0.44,8.54,8.55,8.91,2.42,65.98,,821,721,2.4,
BEAUTY,84,i | 1 | 2 | 3,,1.54,-1.28,"9,800,800","15,227","4,631",,5.70,0.28,,0,-6.92,-6.58,-22.96,,77.99,,,,,
BEC,85,i | 1 | 2 | 3,,12.6,-1.56,"5,888,300","74,406","25,200",38.70,4.39,,,0.33,8.77,12.05,11.41,,49.34,,682,671,-0.2,
BEM,86,i | 1 | 2 | 3,,8.9,-1.11,"100,712,900","891,894","136,037",71.71,3.60,,0.10,0.12,3.87,5.09,8.55,1.11,54.02,,960,967,3.16,
BFIT,87,i | 1 | 2 | 3,,35.5,-0.70,"655,800","23,062","19,569",16.10,2.09,1.04,1.40,2.21,8.93,13.31,52.17,3.92,17.96,,432,450,0.21,
BGC,88,i | 1 | 3,,11.1,-3.48,"2,761,600","31,065","7,708",13.15,1.79,,0.12,0.84,4.93,12.6,5.6,4.00,27.41,,398,584,4.23,
BGRIM,89,i | 1 | 2 | 3,,42,-0.59,"15,254,500","636,609","109,490",40.40,3.80,,0.15,1.04,6.21,9.76,10.54,1.07,36.01,,756,787,6.35,
BGT,90,i | 1 | 2 | 3,,1.07,-2.73,"4,093,900","4,467",389,,1.01,1.61,,0,-0.31,-5.5,-17.97,,44.63,,,,,
BH,91,i | 1 | 2 | 3,,133.5,0.00,"2,803,100","375,891","106,077",151.31,6.17,,1.15,0.88,3.77,3.86,5.37,2.40,49.02,,"1,016",993,61.51,
BIG,92,i | 1 | 2 | 3,,0.65,-2.99,"12,388,600","8,226","2,294",100.95,1.38,,,0.01,1.41,1.38,-6.38,,30.59,,"1,059","1,084",-26.02,
BIZ,93,i | 1 | 2 | 3,,11.5,-0.86,"898,600","10,300","4,600",20.69,6.93,,0.15,0.56,15.24,38.07,16.48,1.29,24.41,,305,366,0.91,
BJC,94,i | 1 | 2 | 3,,33.75,0.00,"10,862,700","366,768","135,263",31.82,1.18,,0.15,1.06,3.22,3.74,2.97,2.31,25.57,,889,884,1.15,
BJCHI,95,i | 1 | 2 | 3,,2,-0.99,"856,200","1,707","3,199",,0.95,,0.03,0,-1.77,-2.04,14.09,1.49,24.75,,,,,
BKD,96,i | 1 | 2 | 3,,2.2,0.00,"245,200",533,"2,368",,1.76,,,0,-5.34,-6.01,0.72,,26.64,,,,,
BKI,97,i | 1 | 2 | 3,,269,-1.10,"554,500","149,251","28,640",10.18,0.88,,3.50,26.43,5.67,9.15,18.58,5.51,84.28,,427,470,3.4,
BLA,98,i | 1 | 2 | 3,,27.5,-1.79,"4,211,400","116,421","46,958",18.88,0.98,,,1.46,0.84,5.38,7.29,0.82,44.59,,695,842,3.69,
BLAND,99,i | 1 | 2 | 3,,1.1,0.00,"187,182,600","210,357","19,112",,0.43,,0.03,0,-0.02,-1.54,-79.78,2.73,71.99,,,,,
BLISS,100,i | 1 | 2 | 3,SPNPNC,0.14,0.00,0,0,963,,0.58,2.61,,0,-20.84,-76.08,-137.71,,78.59,,,,,
BM,101,i | 1 | 2 | 3,,3.9,-0.51,"1,186,600","4,623","1,716",19.92,2.39,,0.08,0.2,8.17,12.5,6.61,2.04,38.33,,500,525,-2.51,
BOL,102,i | 1 | 2 | 3,,11.3,-1.74,"2,242,800","25,938","9,272",44.64,12.56,,0.11,0.25,24.01,29.32,36.3,1.70,29.66,,507,483,1.82,
BPP,103,i | 1 | 2 | 3,,17.6,-1.68,"9,949,300","175,751","53,640",12.75,1.21,,0.30,1.38,8.62,10.03,69.58,3.63,21.18,,463,402,-1.28,
BR,104,i | 1 | 2 | 3,,2.96,-0.67,"838,300","2,494","2,704",,0.67,,,0,0.62,-0.37,-1.25,,56.17,,,,,
BROCK,105,i | 1 | 2 | 3,,1.57,0.00,"23,600",37,"1,609",32.92,1.28,0.04,0.02,0.05,5.39,3.93,17,1.27,15.87,,891,797,0.36,
BROOK,106,i | 1 | 2 | 3,,0.72,0.00,"17,778,200","12,748","5,924",362.54,1.76,,0.02,0,1.67,0.61,-21.18,5.61,30.38,,"1,096","1,098",0.09,
BRR,107,i | 1 | 2 | 3,,6.05,-0.82,"318,100","1,931","4,913",20.42,2.41,,0.06,0.3,5.85,12.39,10.54,0.98,24.69,,515,641,-2.63,
BSBM,108,i | 1 | 2 | 3,,1.62,+1.89,"88,627,900","150,960","1,816",18.44,0.94,0.02,0.05,0.09,6.12,5.1,7.01,5.03,31.10,,700,601,-0.22,
BSM,109,i | 1 | 2 | 3,,0.45,0.00,"6,058,200","2,674",959,,1.80,,,0,-2.14,-16.58,-17.63,,50.02,,,,,
BTNC,110,i | 1 | 2 | 3,,10,-2.91,"1,100",11,120,,0.31,0.58,,0,-5.58,-7.51,-9.01,,29.51,,,,,
BTS,111,i | 1 | 2 | 3,,9.5,0.00,"54,297,600","509,713","125,050",22.67,2.07,,0.16,0.42,5.47,9.87,15.06,3.26,59.67,,608,690,2.43,
BTW,112,i | 1 | 2 | 3,,1.1,-1.79,"1,414,100","1,573",832,,0.79,,0.02,0,-3.95,-8.05,-15.92,1.79,34.09,,,,,
BUI,113,i | 1 | 3,,15,+0.67,"24,900",375,450,4.10,0.58,,0.25,3.66,6.95,15.39,15.44,1.68,28.43,,176,308,0.05,
BWG,114,i | 1 | 2 | 3,,0.7,-1.41,"32,462,400","23,017","3,186",,0.83,,,0,1.29,-6.88,3.98,,88.11,,,,,
BYD,115,i,,8.3,+0.61,"9,018,700","75,026","11,920",,7.83,,,0,-14.21,-19.53,-154.39,,25.59,,,,,
CAZ,116,i | 1 | 3,,3.8,+7.34,"27,607,500","102,441","1,117",14.05,1.96,,0.02,0.27,8.1,14.95,5.5,0.61,35.08,,365,446,0.33,
CBG,117,i | 1 | 2 | 3,,129,-0.39,"3,134,000","404,860","129,000",36.76,13.04,,0.90,3.51,25.3,37.12,18.12,1.85,28.85,,449,437,1.32,
CCET,118,i | 1 | 2 | 3,,2.9,+4.32,"38,280,600","111,228","14,383",67.61,0.83,,0.02,0.04,1.95,1.3,0.17,0.97,26.10,,"1,046","1,042",-3.13,
CCP,119,i | 1 | 2 | 3,,0.71,+4.41,"504,539,400","361,092","1,965",34.33,1.48,,0.02,0.02,3.63,4.33,2.96,2.94,48.19,,886,882,-0.4,
